InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 8:34,9.95,13047,United Kingdom
536373,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 9:02,7.65,17850,United Kingdom
536381,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,12/1/2010 9:41,1.25,15311,United Kingdom
536390,21485,RETROSPOT HEART HOT WATER BOTTLE,24,12/1/2010 10:19,4.25,17511,United Kingdom
536390,22961,JAM MAKING SET PRINTED,12,12/1/2010 10:19,1.45,17511,United Kingdom
536390,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,12/1/2010 10:19,0.64,17511,United Kingdom
536396,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,12/1/2010 10:51,4.95,17850,United Kingdom
536404,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,12/1/2010 11:29,1.25,16218,United Kingdom
536406,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 11:33,4.25,17850,United Kingdom
536408,84949,SILVER HANGING T-LIGHT HOLDER,6,12/1/2010 11:41,1.65,14307,United Kingdom
536412,20750,RED RETROSPOT MINI CASES,1,12/1/2010 11:49,7.95,17920,United Kingdom
536415,22750,FELTCRAFT PRINCESS LOLA DOLL,2,12/1/2010 11:57,3.75,12838,United Kingdom
536415,22738,RIBBON REEL SNOWY VILLAGE,3,12/1/2010 11:57,1.65,12838,United Kingdom
536415,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,1,12/1/2010 11:57,1.25,12838,United Kingdom
536420,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,8,12/1/2010 12:03,2.55,16583,United Kingdom
536423,21481,FAWN BLUE HOT WATER BOTTLE,6,12/1/2010 12:08,2.95,18085,United Kingdom
536446,21890,S/6 WOODEN SKITTLES IN COTTON BAG,2,12/1/2010 12:15,2.95,15983,United Kingdom
536464,21738,COSY SLIPPER SHOES SMALL  RED ,1,12/1/2010 12:23,2.95,17968,United Kingdom
536464,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1,12/1/2010 12:23,0.42,17968,United Kingdom
536488,22713,CARD I LOVE LONDON ,12,12/1/2010 12:31,0.42,17897,United Kingdom
536520,20754,RETROSPOT RED WASHING UP GLOVES,1,12/1/2010 12:43,2.1,14729,United Kingdom
536520,22107,PIZZA PLATE IN BOX,2,12/1/2010 12:43,3.75,14729,United Kingdom
536520,84596E,SMALL LICORICE DES PINK BOWL,1,12/1/2010 12:43,1.25,14729,United Kingdom
536522,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,1,12/1/2010 12:49,4.25,15012,United Kingdom
536524,22697,GREEN REGENCY TEACUP AND SAUCER,6,12/1/2010 12:51,2.95,17572,United Kingdom
536528,21731,RED TOADSTOOL LED NIGHT LIGHT,2,12/1/2010 13:17,1.65,15525,United Kingdom
536531,15056BL,EDWARDIAN PARASOL BLACK,12,12/1/2010 13:23,5.95,15485,United Kingdom
536532,22842,BISCUIT TIN VINTAGE RED,6,12/1/2010 13:24,6.75,12433,Norway
536532,22543,MINI JIGSAW BAKE A CAKE ,24,12/1/2010 13:24,0.42,12433,Norway
536537,20867,PINK ROSE FABRIC MIRROR,36,12/1/2010 13:51,1.25,15922,United Kingdom
536538,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2,12/1/2010 13:54,2.95,14594,United Kingdom
536540,22968,ROSE COTTAGE KEEPSAKE BOX ,4,12/1/2010 14:05,9.95,14911,EIRE
536551,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,12/1/2010 14:34,2.95,17346,United Kingdom
536557,21486,PINK HEART DOTS HOT WATER BOTTLE,2,12/1/2010 14:41,3.75,17841,United Kingdom
536557,22794,SWEETHEART WIRE MAGAZINE RACK,1,12/1/2010 14:41,7.95,17841,United Kingdom
536560,48111,DOORMAT 3 SMILEY CATS,10,12/1/2010 15:00,6.75,13093,United Kingdom
536560,22652,TRAVEL SEWING KIT,10,12/1/2010 15:00,1.65,13093,United Kingdom
536562,22187,GREEN CHRISTMAS TREE CARD HOLDER,4,12/1/2010 15:08,4.25,13468,United Kingdom
536569,22738,RIBBON REEL SNOWY VILLAGE,1,12/1/2010 15:35,1.65,16274,United Kingdom
536569,22816,CARD MOTORBIKE SANTA,12,12/1/2010 15:35,0.42,16274,United Kingdom
536587,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/1/2010 16:33,1.25,14142,United Kingdom
536587,21098,CHRISTMAS TOILET ROLL,12,12/1/2010 16:33,1.25,14142,United Kingdom
536605,20966,SANDWICH BATH SPONGE,10,12/2/2010 8:52,1.25,13715,United Kingdom
536605,22274,FELTCRAFT DOLL EMILY,6,12/2/2010 8:52,2.95,13715,United Kingdom
536609,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 9:41,2.55,17850,United Kingdom
536610,22633,HAND WARMER UNION JACK,6,12/2/2010 9:42,1.85,17850,United Kingdom
