Date,^HSI,Towngas,HSBC,HKEX,Tencent,PetroChina
1/1/2016,20333.33984,9.11,57.299999,184.100006,140.199997,4.56
1/8/2016,19817.41016,9.03,56.299999,179.800003,137.100006,4.48
1/15/2016,18542.15039,8.31,51.900002,162.5,133.100006,4.18
1/22/2016,19195.83008,8.35,53.349998,162.199997,141.600006,4.56
1/29/2016,19183.08984,8.52,52,165.5,141.899994,4.61
2/5/2016,18545.80078,8.31,49.5,163.199997,135.899994,4.47
2/12/2016,19363.08008,8.59,50.950001,171,142.300003,5.11
2/19/2016,18888.75,8.47,47.75,168.300003,139,4.94
2/26/2016,19941.75977,8.62,49.650002,173.300003,147.600006,5.35
3/4/2016,19984.41992,8.57,50.200001,171,145,5.29
3/11/2016,20503.81055,8.87,50.450001,175.199997,152.300003,5.42
3/18/2016,20345.60938,8.74,48.799999,182.199997,158.800003,5.14
3/25/2016,20776.69922,8.98,48.400002,186.800003,158.399994,5.16
4/1/2016,20266.05078,8.8,45.799999,185.199997,161.800003,4.88
4/8/2016,21337.81055,9.21,49,193.899994,165,5.34
4/15/2016,21622.25,9.17,52.900002,201,163.5,5.55
4/22/2016,21388.0293,9.08,52.200001,198.199997,161,5.92
4/29/2016,20449.82031,8.9,49.450001,188.399994,153.199997,5.54
5/6/2016,19915.46094,8.95,47.799999,181.600006,154.199997,5.36
5/13/2016,19694.33008,8.86,49.25,177.699997,157.199997,5.21
5/20/2016,20397.10938,9.06,50.849998,178.399994,163.800003,5.35
5/27/2016,20859.2207,9.44,50.5,188.199997,170.199997,5.42
6/3/2016,21297.88086,9.66,50.5,191.5,175.899994,5.72
6/10/2016,20038.41992,9,46.400002,178.899994,168.800003,5.18
6/17/2016,20868.33984,9.12,50.799999,186,176.100006,5.42
6/24/2016,20794.36914,9.64,47.349998,187.600006,176.100006,5.29
7/1/2016,20706.91992,9.66,47,184.300003,176.300003,5.26
7/8/2016,21561.06055,9.65,49.299999,190.100006,183.5,5.48
7/15/2016,22000.49023,9.79,50.450001,191.5,184.600006,5.38
7/22/2016,22174.33984,9.87,50.799999,192.100006,189,5.36
7/29/2016,21832.23047,9.73,53,191.5,182.600006,5.23
8/5/2016,22580.55078,9.91,54.299999,197.699997,188.699997,5.27
8/12/2016,23023.16016,9.87,55.200001,191.600006,203,5.34
8/19/2016,22814.94922,9.89,55.450001,189.100006,199.5,5.22
8/26/2016,23162.33984,10.02,59.099998,190.199997,202.600006,5.14
9/2/2016,23919.33984,9.98,59.299999,198.600006,215,5.23
9/9/2016,23335.58984,9.99,58.349998,203.600006,209.800003,4.96
9/16/2016,23759.80078,10.09,58.549999,206.800003,214.600006,5.03
9/23/2016,23739.4707,10.18,58.150002,206.800003,217.600006,5.13
9/30/2016,23952.5,9.99,59.349998,208.199997,217.399994,5.57
10/7/2016,23031.30078,9.96,57.75,203.199997,210,5.32
10/14/2016,23374.40039,10.17,58.799999,206.600006,214.199997,5.54
10/21/2016,23132.34961,10.21,58.700001,205.600006,210.600006,5.41
10/28/2016,22683.50977,10.33,57.599998,200.199997,202,5.26
11/4/2016,22839.10938,10.33,60,204.800003,208.199997,5.27
11/11/2016,22262.88086,9.85,60.400002,204,194.800003,5.18
11/18/2016,22608.49023,9.79,61.450001,203.800003,192.199997,5.35
11/25/2016,22878.23047,9.74,61.150002,204.199997,194.5,5.52
12/2/2016,22861.83984,9.73,65.349998,195,190.899994,5.51
12/9/2016,22059.40039,9.4,64,186.899994,184,5.91
12/16/2016,21636.19922,9.31,62.549999,181,181.5,5.82
12/23/2016,21790.91016,9.27,61.950001,180.899994,187.600006,5.78
12/30/2016,22456.68945,9.43,63.900002,185.300003,193.300003,5.97
1/6/2017,22829.01953,9.81,63.950001,186.600006,198.800003,6.12
1/13/2017,23049.96094,9.87,64.949997,187.199997,199.5,6.24
1/20/2017,23374.16992,9.92,66.699997,187.800003,205,6.3
1/27/2017,23184.51953,9.91,66.25,187.300003,205.199997,6.09
2/3/2017,23525.14063,10.15,66.199997,195.5,204.199997,6
2/10/2017,24107.69922,10.09,68.300003,202.399994,212,6.03
2/17/2017,24114.85938,10.14,64.050003,200.399994,214.800003,6.11
2/24/2017,23728.07031,10.34,63.549999,192,206.399994,5.86
3/3/2017,23501.56055,10.13,62.849998,190.399994,209.800003,5.76
3/10/2017,24288.2793,10.34,64.349998,197.399994,220.800003,5.84
3/17/2017,24327.69922,10.49,63,196.399994,223,5.79
3/24/2017,24301.08984,10.59,63.5,194.399994,225.199997,5.76
3/31/2017,24273.7207,10.79,63.200001,196,228,5.65
4/7/2017,24261.66016,10.75,63.349998,194.199997,230.600006,5.69
4/14/2017,24056.98047,10.48,62.25,191.5,236.600006,5.56
4/21/2017,24698.48047,10.54,64.400002,194.100006,244.600006,5.49
4/28/2017,24683.88086,10.6,66.349998,190.600006,243.800003,5.37
5/5/2017,25125.55078,10.7,67.949997,195.699997,254.600006,5.31
5/12/2017,25136.51953,10.78,67.400002,195.300003,264,5.31
5/19/2017,25630.7793,10.89,67.650002,196.300003,277.200012,5.34
5/26/2017,25809.2207,11.38,67.900002,196.800003,271.200012,5.17
6/2/2017,26063.06055,11.45,69,205.600006,273.399994,5.1
6/9/2017,25565.33984,10.85,67.800003,198,273,4.96
6/16/2017,25674.5293,11.11,67.650002,200.399994,281.600006,4.84
6/23/2017,25965.41992,11.14,72.800003,203.199997,284,4.83
6/30/2017,25465.2207,10.9,73.349998,199.5,271.799988,4.88
7/7/2017,26346.16992,11.15,75.099998,208.800003,284.399994,4.83
7/14/2017,26740.21094,11.06,75.349998,221.399994,297,4.94
7/21/2017,27131.16992,11.03,76.900002,223.600006,308.399994,5.07
7/28/2017,27531.00977,11.12,78.25,227.600006,308.600006,5.01
8/4/2017,27444,11.14,76.5,218,326.600006,4.99
8/11/2017,27344.2207,11.18,74.599998,211.600006,329.399994,4.82
